,,,,,,,,,,,"Total population by single age, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,,,,,,,,,
7653,1966,  18 549,  16 915,  16 051,  15 461,  14 966,  14 523,  14 113,  13 767,  13 474,  13 165,  12 839,  12 510,  12 147,  11 751,  11 351,  10 962,  10 592,  9 794,  9 018,  8 727,  8 466,  8 212,  7 986,  7 792,  7 632,  7 505,  7 413,  7 357,  7 278,  7 125,  6 931,  6 764,  6 619,  6 463,  6 307,  6 152,  5 994,  5 837,  5 682,  5 526,  5 372,  5 219,  5 066,  4 920,  4 786,  4 659,  4 530,  4 402,  4 272,  4 132,  3 988,  3 846,  3 703,  3 568,  3 454,  3 349,  3 238,  3 130,  3 005,  2 836,  2 645,  2 462,  2 279,  2 119,  2 011,  1 932,  1 847,  1 762,  1 655,  1 494,  1 307,  1 137,   977,   846,   772,   724,   670,   616,   549,   455,   355,   274,   205,   153,   122,   102,   85,   69,   54,   40,   28,   19,   12,   8,   5,   3,   2,   1,   1,   0,   0,,,,,,,,,
7654,1967,  18 802,  17 120,  16 275,  15 735,  15 257,  14 821,  14 419,  14 037,  13 709,  13 427,  13 124,  12 800,  12 470,  12 105,  11 706,  11 303,  10 912,  10 540,  9 743,  8 968,  8 676,  8 414,  8 159,  7 932,  7 737,  7 577,  7 450,  7 358,  7 302,  7 223,  7 071,  6 877,  6 710,  6 565,  6 409,  6 252,  6 096,  5 939,  5 782,  5 626,  5 471,  5 316,  5 163,  5 011,  4 864,  4 730,  4 601,  4 471,  4 342,  4 210,  4 069,  3 924,  3 781,  3 636,  3 500,  3 384,  3 276,  3 163,  3 053,  2 925,  2 755,  2 563,  2 380,  2 197,  2 037,  1 927,  1 845,  1 758,  1 670,  1 562,  1 403,  1 222,  1 056,   902,   775,   701,   652,   598,   544,   480,   393,   304,   231,   171,   125,   98,   81,   66,   52,   40,   29,   20,   13,   8,   5,   3,   2,   1,   1,   0,   0,,,,,,,,,
7655,1968,  19 115,  17 418,  16 516,  15 973,  15 536,  15 114,  14 717,  14 344,  13 981,  13 664,  13 389,  13 087,  12 763,  12 431,  12 063,  11 661,  11 255,  10 862,  10 489,  9 693,  8 919,  8 626,  8 362,  8 107,  7 879,  7 684,  7 524,  7 397,  7 305,  7 249,  7 171,  7 019,  6 825,  6 657,  6 512,  6 355,  6 199,  6 043,  5 885,  5 728,  5 572,  5 417,  5 263,  5 109,  4 956,  4 809,  4 674,  4 544,  4 412,  4 281,  4 148,  4 005,  3 858,  3 714,  3 568,  3 430,  3 312,  3 201,  3 085,  2 972,  2 842,  2 670,  2 478,  2 294,  2 112,  1 951,  1 840,  1 755,  1 666,  1 577,  1 468,  1 312,  1 135,   975,   826,   705,   632,   582,   528,   476,   416,   336,   256,   192,   140,   101,   78,   63,   50,   39,   29,   21,   13,   9,   5,   3,   2,   1,   1,   0,   0,,,,,,,,,
7656,1969,  19 417,  17 775,  16 849,  16 228,  15 780,  15 395,  15 011,  14 643,  14 290,  13 940,  13 629,  13 356,  13 054,  12 728,  12 392,  12 020,  11 615,  11 207,  10 812,  10 438,  9 642,  8 870,  8 575,  8 311,  8 055,  7 828,  7 633,  7 473,  7 347,  7 256,  7 200,  7 121,  6 968,  6 775,  6 607,  6 461,  6 304,  6 147,  5 991,  5 834,  5 677,  5 521,  5 365,  5 211,  5 057,  4 903,  4 755,  4 618,  4 486,  4 353,  4 220,  4 084,  3 940,  3 792,  3 645,  3 497,  3 357,  3 237,  3 123,  3 005,  2 888,  2 754,  2 582,  2 389,  2 206,  2 024,  1 864,  1 751,  1 664,  1 573,  1 482,  1 372,  1 219,  1 048,   894,   751,   635,   565,   515,   463,   413,   357,   285,   214,   158,   114,   81,   61,   48,   38,   29,   21,   14,   9,   6,   4,   2,   1,   1,   0,   0,,,,,,,,,
7657,1970,  19 708,  18 081,  17 211,  16 561,  16 032,  15 634,  15 287,  14 932,  14 586,  14 247,  13 905,  13 597,  13 323,  13 019,  12 690,  12 351,  11 976,  11 569,  11 159,  10 763,  10 388,  9 594,  8 823,  8 528,  8 264,  8 008,  7 781,  7 587,  7 428,  7 302,  7 210,  7 154,  7 074,  6 921,  6 728,  6 559,  6 413,  6 256,  6 099,  5 943,  5 785,  5 627,  5 471,  5 315,  5 159,  5 005,  4 849,  4 700,  4 561,  4 427,  4 291,  4 156,  4 019,  3 872,  3 722,  3 574,  3 424,  3 281,  3 158,  3 041,  2 919,  2 798,  2 662,  2 488,  2 296,  2 113,  1 932,  1 773,  1 660,  1 570,  1 477,  1 384,  1 275,  1 125,   960,   812,   677,   568,   500,   452,   402,   355,   303,   239,   177,   129,   91,   63,   47,   37,   28,   21,   15,   10,   6,   4,   2,   1,   1,   0,   0,,,,,,,,,
7658,1971,  20 085,  18 375,  17 521,  16 921,  16 360,  15 882,  15 522,  15 205,  14 873,  14 542,  14 212,  13 872,  13 564,  13 289,  12 982,  12 649,  12 307,  11 929,  11 521,  11 110,  10 713,  10 337,  9 544,  8 775,  8 480,  8 216,  7 961,  7 735,  7 541,  7 383,  7 257,  7 165,  7 108,  7 028,  6 874,  6 681,  6 512,  6 365,  6 208,  6 051,  5 894,  5 736,  5 578,  5 421,  5 264,  5 107,  4 951,  4 794,  4 642,  4 501,  4 365,  4 227,  4 090,  3 950,  3 802,  3 650,  3 499,  3 347,  3 202,  3 075,  2 954,  2 829,  2 705,  2 566,  2 391,  2 200,  2 018,  1 838,  1 681,  1 567,  1 476,  1 381,  1 287,  1 177,  1 032,   874,   733,   606,   504,   440,   394,   347,   302,   255,   198,   145,   104,   72,   49,   36,   27,   20,   15,   10,   7,   4,   2,   1,   1,   0,   0,,,,,,,,,
7659,1972,  20 467,  18 746,  17 819,  17 231,  16 718,  16 206,  15 766,  15 437,  15 144,  14 829,  14 506,  14 179,  13 840,  13 530,  13 251,  12 941,  12 604,  12 260,  11 880,  11 470,  11 058,  10 660,  10 284,  9 493,  8 726,  8 432,  8 169,  7 914,  7 689,  7 497,  7 338,  7 213,  7 120,  7 062,  6 981,  6 828,  6 634,  6 465,  6 318,  6 160,  6 003,  5 846,  5 687,  5 528,  5 370,  5 212,  5 054,  4 896,  4 737,  4 583,  4 440,  4 301,  4 161,  4 021,  3 880,  3 729,  3 574,  3 421,  3 266,  3 118,  2 988,  2 864,  2 735,  2 609,  2 468,  2 293,  2 102,  1 921,  1 744,  1 589,  1 475,  1 382,  1 286,  1 191,  1 082,   941,   791,   658,   540,   445,   385,   341,   297,   256,   213,   164,   118,   83,   57,   38,   27,   20,   15,   11,   7,   5,   3,   2,   1,   1,   1,,,,,,,,,
7660,1973,  20 835,  19 127,  18 194,  17 531,  17 027,  16 561,  16 088,  15 680,  15 376,  15 099,  14 792,  14 473,  14 146,  13 805,  13 492,  13 210,  12 897,  12 558,  12 212,  11 831,  11 420,  11 007,  10 609,  10 233,  9 444,  8 680,  8 387,  8 124,  7 871,  7 647,  7 455,  7 297,  7 171,  7 078,  7 019,  6 937,  6 783,  6 589,  6 420,  6 272,  6 114,  5 955,  5 798,  5 638,  5 478,  5 319,  5 159,  4 999,  4 839,  4 678,  4 522,  4 376,  4 236,  4 093,  3 951,  3 807,  3 654,  3 496,  3 341,  3 183,  3 032,  2 899,  2 772,  2 640,  2 510,  2 368,  2 193,  2 004,  1 826,  1 652,  1 498,  1 384,  1 290,  1 194,  1 098,   990,   855,   713,   589,   479,   392,   336,   295,   254,   216,   178,   135,   96,   66,   45,   30,   21,   15,   11,   8,   5,   3,   2,   1,   1,   1,,,,,,,,,
7661,1974,  21 203,  19 503,  18 583,  17 910,  17 329,  16 870,  16 442,  16 002,  15 618,  15 330,  15 063,  14 759,  14 440,  14 111,  13 767,  13 451,  13 165,  12 849,  12 508,  12 159,  11 777,  11 366,  10 953,  10 555,  10 179,  9 393,  8 632,  8 340,  8 079,  7 827,  7 604,  7 413,  7 255,  7 129,  7 035,  6 975,  6 892,  6 738,  6 543,  6 374,  6 225,  6 066,  5 907,  5 749,  5 588,  5 427,  5 266,  5 105,  4 943,  4 781,  4 617,  4 459,  4 311,  4 168,  4 023,  3 879,  3 732,  3 576,  3 416,  3 257,  3 097,  2 943,  2 807,  2 677,  2 543,  2 412,  2 268,  2 094,  1 908,  1 732,  1 561,  1 409,  1 295,  1 201,  1 104,  1 008,   903,   774,   641,   525,   424,   344,   292,   253,   216,   182,   147,   110,   77,   53,   35,   23,   16,   11,   8,   5,   4,   2,   1,   1,   1,,,,,,,,,
7662,1975,  21 442,  19 883,  18 968,  18 302,  17 708,  17 172,  16 751,  16 355,  15 939,  15 573,  15 294,  15 029,  14 726,  14 405,  14 072,  13 724,  13 404,  13 115,  12 795,  12 452,  12 102,  11 719,  11 307,  10 894,  10 496,  10 121,  9 339,  8 582,  8 292,  8 032,  7 782,  7 560,  7 369,  7 211,  7 085,  6 991,  6 930,  6 846,  6 691,  6 497,  6 326,  6 177,  6 018,  5 858,  5 698,  5 537,  5 374,  5 212,  5 048,  4 884,  4 720,  4 554,  4 394,  4 244,  4 098,  3 951,  3 804,  3 654,  3 495,  3 332,  3 171,  3 008,  2 852,  2 713,  2 581,  2 445,  2 312,  2 169,  1 997,  1 813,  1 640,  1 471,  1 322,  1 208,  1 113,  1 016,   922,   820,   698,   574,   467,   374,   300,   252,   217,   183,   152,   122,   90,   62,   42,   28,   18,   12,   8,   6,   4,   3,   2,   1,   1,,,,,,,,,
7663,1976,  21 696,  20 141,  19 356,  18 691,  18 102,  17 551,  17 052,  16 663,  16 291,  15 893,  15 537,  15 261,  14 996,  14 690,  14 365,  14 027,  13 675,  13 351,  13 058,  12 736,  12 390,  12 038,  11 654,  11 242,  10 830,  10 433,  10 060,  9 282,  8 529,  8 240,  7 983,  7 734,  7 513,  7 323,  7 165,  7 039,  6 944,  6 883,  6 798,  6 642,  6 448,  6 277,  6 127,  5 967,  5 806,  5 646,  5 483,  5 318,  5 154,  4 988,  4 822,  4 656,  4 489,  4 326,  4 174,  4 026,  3 876,  3 725,  3 572,  3 410,  3 245,  3 081,  2 916,  2 758,  2 617,  2 483,  2 346,  2 213,  2 070,  1 899,  1 719,  1 548,  1 382,  1 235,  1 122,  1 027,   931,   839,   741,   626,   511,   413,   328,   260,   217,   184,   154,   126,   100,   73,   50,   33,   21,   13,   9,   6,   4,   3,   2,   1,   1,,,,,,,,,
7664,1977,  21 919,  20 417,  19 629,  19 085,  18 493,  17 945,  17 431,  16 964,  16 599,  16 246,  15 857,  15 504,  15 228,  14 961,  14 651,  14 322,  13 980,  13 624,  13 297,  13 002,  12 677,  12 331,  11 978,  11 593,  11 182,  10 771,  10 376,  10 004,  9 230,  8 481,  8 194,  7 938,  7 690,  7 470,  7 280,  7 123,  6 996,  6 900,  6 837,  6 752,  6 595,  6 400,  6 228,  6 078,  5 917,  5 755,  5 593,  5 428,  5 262,  5 095,  4 927,  4 759,  4 590,  4 421,  4 256,  4 101,  3 950,  3 797,  3 643,  3 487,  3 322,  3 154,  2 987,  2 820,  2 661,  2 519,  2 383,  2 246,  2 112,  1 970,  1 801,  1 624,  1 456,  1 293,  1 148,  1 036,   942,   848,   759,   665,   558,   452,   362,   285,   224,   184,   155,   128,   104,   81,   58,   39,   26,   16,   10,   7,   5,   3,   2,   1,   1,,,,,,,,,
7665,1978,  22 076,  20 671,  19 924,  19 368,  18 891,  18 339,  17 826,  17 343,  16 901,  16 555,  16 211,  15 826,  15 473,  15 195,  14 924,  14 611,  14 279,  13 935,  13 578,  13 249,  12 952,  12 627,  12 280,  11 927,  11 543,  11 132,  10 722,  10 329,  9 959,  9 189,  8 442,  8 157,  7 901,  7 654,  7 433,  7 243,  7 085,  6 957,  6 860,  6 796,  6 708,  6 550,  6 354,  6 182,  6 030,  5 868,  5 704,  5 540,  5 373,  5 204,  5 035,  4 865,  4 694,  4 523,  4 351,  4 183,  4 025,  3 871,  3 714,  3 557,  3 396,  3 229,  3 058,  2 889,  2 721,  2 560,  2 417,  2 281,  2 144,  2 010,  1 868,  1 702,  1 526,  1 361,  1 201,  1 060,   950,   857,   766,   681,   593,   493,   396,   314,   244,   190,   155,   129,   105,   84,   65,   46,   30,   20,   12,   7,   5,   3,   2,   1,   2,,,,,,,,,
7666,1979,  22 433,  20 861,  20 195,  19 671,  19 179,  18 738,  18 220,  17 738,  17 281,  16 857,  16 521,  16 180,  15 795,  15 440,  15 160,  14 886,  14 571,  14 237,  13 891,  13 532,  13 203,  12 906,  12 580,  12 232,  11 880,  11 496,  11 086,  10 678,  10 286,  9 918,  9 151,  8 407,  8 122,  7 867,  7 619,  7 399,  7 208,  7 049,  6 919,  6 821,  6 754,  6 665,  6 506,  6 309,  6 135,  5 982,  5 818,  5 652,  5 486,  5 316,  5 145,  4 973,  4 799,  4 626,  4 452,  4 277,  4 107,  3 945,  3 787,  3 626,  3 465,  3 301,  3 130,  2 957,  2 787,  2 618,  2 457,  2 313,  2 177,  2 040,  1 906,  1 764,  1 599,  1 427,  1 264,  1 108,   971,   864,   774,   687,   605,   523,   431,   343,   269,   207,   159,   128,   105,   84,   67,   51,   35,   23,   15,   9,   5,   3,   2,   1,   2,,,,,,,,,
7667,1980,  22 946,  21 242,  20 406,  19 952,  19 487,  19 028,  18 619,  18 132,  17 676,  17 238,  16 824,  16 491,  16 150,  15 765,  15 408,  15 125,  14 849,  14 532,  14 197,  13 851,  13 492,  13 162,  12 864,  12 538,  12 191,  11 839,  11 456,  11 047,  10 640,  10 250,  9 882,  9 117,  8 376,  8 091,  7 836,  7 588,  7 366,  7 174,  7 013,  6 882,  6 782,  6 713,  6 623,  6 462,  6 264,  6 089,  5 934,  5 767,  5 599,  5 429,  5 257,  5 082,  4 907,  4 732,  4 555,  4 379,  4 201,  4 026,  3 861,  3 698,  3 533,  3 368,  3 200,  3 027,  2 852,  2 681,  2 511,  2 350,  2 207,  2 070,  1 933,  1 799,  1 657,  1 494,  1 324,  1 165,  1 014,   882,   779,   692,   609,   533,   456,   372,   293,   227,   173,   131,   104,   84,   66,   52,   39,   27,   17,   11,   6,   4,   2,   1,   2,,,,,,,,,
7668,1981,  23 453,  21 769,  20 802,  20 171,  19 771,  19 337,  18 909,  18 530,  18 069,  17 632,  17 205,  16 795,  16 462,  16 121,  15 733,  15 374,  15 088,  14 811,  14 493,  14 157,  13 811,  13 451,  13 121,  12 823,  12 498,  12 151,  11 799,  11 417,  11 010,  10 603,  10 214,  9 847,  9 084,  8 345,  8 060,  7 804,  7 556,  7 333,  7 140,  6 977,  6 845,  6 742,  6 672,  6 579,  6 418,  6 218,  6 041,  5 883,  5 714,  5 542,  5 370,  5 194,  5 017,  4 839,  4 660,  4 481,  4 301,  4 119,  3 941,  3 771,  3 603,  3 434,  3 265,  3 095,  2 919,  2 743,  2 572,  2 402,  2 242,  2 098,  1 961,  1 824,  1 689,  1 547,  1 386,  1 220,  1 065,   920,   794,   696,   613,   535,   464,   393,   317,   246,   189,   142,   106,   83,   66,   51,   39,   29,   19,   12,   7,   4,   3,   2,   2,,,,,,,,,
